gene	cluster	localization_key	mean_expression
Olfm1	Cortex_1	Olfm1|Cortex_1	3.52418281
Olfm1	Cortex_2	Olfm1|Cortex_2	3.890191133
Olfm1	Cortex_3	Olfm1|Cortex_3	3.623943587
Olfm1	Cortex_4	Olfm1|Cortex_4	3.907055974
Olfm1	Cortex_5	Olfm1|Cortex_5	3.154071406
Olfm1	Fiber_tract	Olfm1|Fiber_tract	1.922049553
Olfm1	Hippocampus	Olfm1|Hippocampus	2.905353948
Olfm1	Hypothalamus_1	Olfm1|Hypothalamus_1	1.912387896
Olfm1	Hypothalamus_2	Olfm1|Hypothalamus_2	2.282473807
Olfm1	Lateral_ventricle	Olfm1|Lateral_ventricle	1.968091688
Olfm1	Pyramidal_layer	Olfm1|Pyramidal_layer	3.89325017
Olfm1	Pyramidal_layer_dentate_gyrus	Olfm1|Pyramidal_layer_dentate_gyrus	4.190475401
Olfm1	Striatum	Olfm1|Striatum	2.577033666
Olfm1	Thalamus_1	Olfm1|Thalamus_1	2.620132676
Olfm1	Thalamus_2	Olfm1|Thalamus_2	2.113789141
Ttr	Cortex_1	Ttr|Cortex_1	1.74098909
Ttr	Cortex_2	Ttr|Cortex_2	2.666389596
Ttr	Cortex_3	Ttr|Cortex_3	2.260890753
Ttr	Cortex_4	Ttr|Cortex_4	1.682838811
Ttr	Cortex_5	Ttr|Cortex_5	2.188342147
Ttr	Fiber_tract	Ttr|Fiber_tract	2.481340641
Ttr	Hippocampus	Ttr|Hippocampus	3.249584331
Ttr	Hypothalamus_1	Ttr|Hypothalamus_1	1.314791872
Ttr	Hypothalamus_2	Ttr|Hypothalamus_2	1.752534059
Ttr	Lateral_ventricle	Ttr|Lateral_ventricle	4.280376553
Ttr	Pyramidal_layer	Ttr|Pyramidal_layer	2.462930198
Ttr	Pyramidal_layer_dentate_gyrus	Ttr|Pyramidal_layer_dentate_gyrus	2.458589827
Ttr	Striatum	Ttr|Striatum	3.142292555
Ttr	Thalamus_1	Ttr|Thalamus_1	1.756113315
Ttr	Thalamus_2	Ttr|Thalamus_2	1.531241477
Nrgn	Cortex_1	Nrgn|Cortex_1	4.406142244
Nrgn	Cortex_2	Nrgn|Cortex_2	3.914620061
Nrgn	Cortex_3	Nrgn|Cortex_3	4.134142898
Nrgn	Cortex_4	Nrgn|Cortex_4	4.660085918
Nrgn	Cortex_5	Nrgn|Cortex_5	3.750310652
Nrgn	Fiber_tract	Nrgn|Fiber_tract	2.082186277
Nrgn	Hippocampus	Nrgn|Hippocampus	3.51298154
Nrgn	Hypothalamus_1	Nrgn|Hypothalamus_1	1.928286896
Nrgn	Hypothalamus_2	Nrgn|Hypothalamus_2	1.421341814
Nrgn	Lateral_ventricle	Nrgn|Lateral_ventricle	2.411215586
Nrgn	Pyramidal_layer	Nrgn|Pyramidal_layer	4.750130699
Nrgn	Pyramidal_layer_dentate_gyrus	Nrgn|Pyramidal_layer_dentate_gyrus	4.407448446
Nrgn	Striatum	Nrgn|Striatum	3.460308994
Nrgn	Thalamus_1	Nrgn|Thalamus_1	1.420743836
Nrgn	Thalamus_2	Nrgn|Thalamus_2	1.536676121
Plp1	Cortex_1	Plp1|Cortex_1	2.581863102
Plp1	Cortex_2	Plp1|Cortex_2	2.193897146
Plp1	Cortex_3	Plp1|Cortex_3	3.394433195
Plp1	Cortex_4	Plp1|Cortex_4	1.788782767
Plp1	Cortex_5	Plp1|Cortex_5	2.080657262
Plp1	Fiber_tract	Plp1|Fiber_tract	6.310233608
Plp1	Hippocampus	Plp1|Hippocampus	3.573295325
Plp1	Hypothalamus_1	Plp1|Hypothalamus_1	3.020689725
Plp1	Hypothalamus_2	Plp1|Hypothalamus_2	5.114572468
Plp1	Lateral_ventricle	Plp1|Lateral_ventricle	3.637777083
Plp1	Pyramidal_layer	Plp1|Pyramidal_layer	2.2295183
Plp1	Pyramidal_layer_dentate_gyrus	Plp1|Pyramidal_layer_dentate_gyrus	2.712182166
Plp1	Striatum	Plp1|Striatum	3.085263762
Plp1	Thalamus_1	Plp1|Thalamus_1	4.495994247
Plp1	Thalamus_2	Plp1|Thalamus_2	3.531222613
