rank	source	target	cluster_1	cluster_2	mean	pvalue	interaction_key
1	APOE	LRP1	Lateral_ventricle	Pyramidal_layer	3.2671270980721427		APOE|LRP1|Lateral_ventricle->Pyramidal_layer
2	APOE	LRP1	Lateral_ventricle	Lateral_ventricle	3.230836770080385		APOE|LRP1|Lateral_ventricle->Lateral_ventricle
3	APOE	LRP1	Lateral_ventricle	Cortex_4	3.2153071973745417		APOE|LRP1|Lateral_ventricle->Cortex_4
4	APOE	LRP1	Lateral_ventricle	Thalamus_2	3.2074399014624455		APOE|LRP1|Lateral_ventricle->Thalamus_2
5	APOE	LRP1	Lateral_ventricle	Striatum	3.191329591024935		APOE|LRP1|Lateral_ventricle->Striatum
6	APOE	LRP1	Lateral_ventricle	Cortex_2	3.185503661052726		APOE|LRP1|Lateral_ventricle->Cortex_2
7	APOE	LRP1	Lateral_ventricle	Cortex_1	3.1848730113304837		APOE|LRP1|Lateral_ventricle->Cortex_1
8	APOE	LRP1	Lateral_ventricle	Hypothalamus_1	3.1822457651679334		APOE|LRP1|Lateral_ventricle->Hypothalamus_1
9	APOE	LRP1	Lateral_ventricle	Cortex_3	3.17665324140279		APOE|LRP1|Lateral_ventricle->Cortex_3
10	APOE	LRP1	Lateral_ventricle	Cortex_5	3.15408233247062		APOE|LRP1|Lateral_ventricle->Cortex_5
11	APOE	LRP1	Lateral_ventricle	Hypothalamus_2	3.1507893334654042		APOE|LRP1|Lateral_ventricle->Hypothalamus_2
12	APOE	LRP1	Lateral_ventricle	Thalamus_1	3.1435017329979673		APOE|LRP1|Lateral_ventricle->Thalamus_1
13	APOE	LRP1	Lateral_ventricle	Pyramidal_layer_dentate_gyrus	3.1116567319806885		APOE|LRP1|Lateral_ventricle->Pyramidal_layer_dentate_gyrus
14	APOE	LRP1	Cortex_5	Pyramidal_layer	3.1067467346077873		APOE|LRP1|Cortex_5->Pyramidal_layer
15	APOE	LRP1	Fiber_tract	Pyramidal_layer	3.083672346103759		APOE|LRP1|Fiber_tract->Pyramidal_layer
16	APOE	LRP1	Cortex_5	Lateral_ventricle	3.0704564066160294		APOE|LRP1|Cortex_5->Lateral_ventricle
17	APOE	LRP1	Lateral_ventricle	Hippocampus	3.061058733243126		APOE|LRP1|Lateral_ventricle->Hippocampus
18	APOE	LRP1	Cortex_5	Cortex_4	3.0549268339101863		APOE|LRP1|Cortex_5->Cortex_4
19	APOE	LRP1	Fiber_tract	Lateral_ventricle	3.047382018112001		APOE|LRP1|Fiber_tract->Lateral_ventricle
20	APOE	LRP1	Cortex_5	Thalamus_2	3.04705953799809		APOE|LRP1|Cortex_5->Thalamus_2
21	APOE	LRP1	Hippocampus	Pyramidal_layer	3.0445457115059806		APOE|LRP1|Hippocampus->Pyramidal_layer
22	APOE	LRP1	Fiber_tract	Cortex_4	3.031852445406158		APOE|LRP1|Fiber_tract->Cortex_4
23	APOE	LRP1	Cortex_5	Striatum	3.0309492275605794		APOE|LRP1|Cortex_5->Striatum
24	APOE	LRP1	Cortex_5	Cortex_2	3.0251232975883706		APOE|LRP1|Cortex_5->Cortex_2
25	APOE	LRP1	Cortex_5	Cortex_1	3.0244926478661283		APOE|LRP1|Cortex_5->Cortex_1
26	APOE	LRP1	Fiber_tract	Thalamus_2	3.0239851494940617		APOE|LRP1|Fiber_tract->Thalamus_2
27	APOE	LRP1	Cortex_5	Hypothalamus_1	3.021865401703578		APOE|LRP1|Cortex_5->Hypothalamus_1
28	APOE	LRP1	Cortex_5	Cortex_3	3.0162728779384347		APOE|LRP1|Cortex_5->Cortex_3
29	APOE	LRP1	Hippocampus	Lateral_ventricle	3.0082553835142227		APOE|LRP1|Hippocampus->Lateral_ventricle
30	APOE	LRP1	Fiber_tract	Striatum	3.007874839056551		APOE|LRP1|Fiber_tract->Striatum
31	APOE	LRP1	Fiber_tract	Cortex_2	3.0020489090843423		APOE|LRP1|Fiber_tract->Cortex_2
32	APOE	LRP1	Fiber_tract	Cortex_1	3.0014182593621		APOE|LRP1|Fiber_tract->Cortex_1
33	APOE	LRP1	Hypothalamus_1	Pyramidal_layer	3.0000086440926506		APOE|LRP1|Hypothalamus_1->Pyramidal_layer
34	APOE	LRP1	Fiber_tract	Hypothalamus_1	2.9987910131995497		APOE|LRP1|Fiber_tract->Hypothalamus_1
35	APOE	LRP1	Thalamus_2	Pyramidal_layer	2.998312295902343		APOE|LRP1|Thalamus_2->Pyramidal_layer
36	APOE	LRP1	Cortex_5	Cortex_5	2.9937019690062647		APOE|LRP1|Cortex_5->Cortex_5
37	APOE	LRP1	Hypothalamus_2	Pyramidal_layer	2.993553937900634		APOE|LRP1|Hypothalamus_2->Pyramidal_layer
38	APOE	LRP1	Lateral_ventricle	Fiber_tract	2.993223951189919		APOE|LRP1|Lateral_ventricle->Fiber_tract
39	APOE	LRP1	Fiber_tract	Cortex_3	2.9931984894344064		APOE|LRP1|Fiber_tract->Cortex_3
40	APOE	LRP1	Hippocampus	Cortex_4	2.9927258108083796		APOE|LRP1|Hippocampus->Cortex_4
41	APOE	LRP1	Cortex_5	Hypothalamus_2	2.9904089700010488		APOE|LRP1|Cortex_5->Hypothalamus_2
42	APOE	LRP1	Hippocampus	Thalamus_2	2.9848585148962834		APOE|LRP1|Hippocampus->Thalamus_2
43	APOE	LRP1	Cortex_5	Thalamus_1	2.983121369533612		APOE|LRP1|Cortex_5->Thalamus_1
44	APOE	LRP1	Fiber_tract	Cortex_5	2.9706275805022364		APOE|LRP1|Fiber_tract->Cortex_5
45	APOE	LRP1	Hippocampus	Striatum	2.9687482044587727		APOE|LRP1|Hippocampus->Striatum
46	APOE	LRP1	Fiber_tract	Hypothalamus_2	2.9673345814970205		APOE|LRP1|Fiber_tract->Hypothalamus_2
47	APOE	LRP1	Hypothalamus_1	Lateral_ventricle	2.9637183161008926		APOE|LRP1|Hypothalamus_1->Lateral_ventricle
48	APOE	LRP1	Hippocampus	Cortex_2	2.962922274486564		APOE|LRP1|Hippocampus->Cortex_2
49	APOE	LRP1	Hippocampus	Cortex_1	2.9622916247643216		APOE|LRP1|Hippocampus->Cortex_1
50	APOE	LRP1	Thalamus_2	Lateral_ventricle	2.962021967910585		APOE|LRP1|Thalamus_2->Lateral_ventricle
51	APOE	LRP1	Fiber_tract	Thalamus_1	2.9600469810295835		APOE|LRP1|Fiber_tract->Thalamus_1
52	APOE	LRP1	Hippocampus	Hypothalamus_1	2.9596643786017713		APOE|LRP1|Hippocampus->Hypothalamus_1
53	APOE	LRP1	Hypothalamus_2	Lateral_ventricle	2.957263609908876		APOE|LRP1|Hypothalamus_2->Lateral_ventricle
54	APOE	LRP1	Hippocampus	Cortex_3	2.954071854836628		APOE|LRP1|Hippocampus->Cortex_3
55	APOE	LRP1	Cortex_5	Pyramidal_layer_dentate_gyrus	2.951276368516333		APOE|LRP1|Cortex_5->Pyramidal_layer_dentate_gyrus
56	APOE	LRP1	Hypothalamus_1	Cortex_4	2.9481887433950495		APOE|LRP1|Hypothalamus_1->Cortex_4
57	APOE	LRP1	Thalamus_2	Cortex_4	2.946492395204742		APOE|LRP1|Thalamus_2->Cortex_4
58	APOE	LRP1	Hypothalamus_2	Cortex_4	2.941734037203033		APOE|LRP1|Hypothalamus_2->Cortex_4
59	APOE	LRP1	Hypothalamus_1	Thalamus_2	2.9403214474829533		APOE|LRP1|Hypothalamus_1->Thalamus_2
60	APOE	LRP1	Thalamus_2	Thalamus_2	2.9386250992926457		APOE|LRP1|Thalamus_2->Thalamus_2
61	APOE	LRP1	Hypothalamus_2	Thalamus_2	2.9338667412909367		APOE|LRP1|Hypothalamus_2->Thalamus_2
62	APOE	LRP1	Thalamus_1	Pyramidal_layer	2.9338651313668205		APOE|LRP1|Thalamus_1->Pyramidal_layer
63	APOE	LRP1	Hippocampus	Cortex_5	2.931500945904458		APOE|LRP1|Hippocampus->Cortex_5
64	APOE	LRP1	Hippocampus	Hypothalamus_2	2.928207946899242		APOE|LRP1|Hippocampus->Hypothalamus_2
65	APOE	LRP1	Fiber_tract	Pyramidal_layer_dentate_gyrus	2.9282019800123047		APOE|LRP1|Fiber_tract->Pyramidal_layer_dentate_gyrus
66	APOE	LRP1	Hypothalamus_1	Striatum	2.9242111370454427		APOE|LRP1|Hypothalamus_1->Striatum
67	APOE	LRP1	Thalamus_2	Striatum	2.922514788855135		APOE|LRP1|Thalamus_2->Striatum
68	APOE	LRP1	Hippocampus	Thalamus_1	2.920920346431805		APOE|LRP1|Hippocampus->Thalamus_1
69	APOE	LRP1	Hypothalamus_1	Cortex_2	2.918385207073234		APOE|LRP1|Hypothalamus_1->Cortex_2
70	APOE	LRP1	Hypothalamus_2	Striatum	2.917756430853426		APOE|LRP1|Hypothalamus_2->Striatum
71	APOE	LRP1	Hypothalamus_1	Cortex_1	2.9177545573509915		APOE|LRP1|Hypothalamus_1->Cortex_1
72	APOE	LRP1	Thalamus_2	Cortex_2	2.9166888588829263		APOE|LRP1|Thalamus_2->Cortex_2
73	APOE	LRP1	Thalamus_2	Cortex_1	2.916058209160684		APOE|LRP1|Thalamus_2->Cortex_1
74	APOE	LRP1	Hypothalamus_1	Hypothalamus_1	2.9151273111884413		APOE|LRP1|Hypothalamus_1->Hypothalamus_1
75	APOE	LRP1	Thalamus_2	Hypothalamus_1	2.9134309629981336		APOE|LRP1|Thalamus_2->Hypothalamus_1
76	APOE	LRP1	Hypothalamus_2	Cortex_2	2.9119305008812173		APOE|LRP1|Hypothalamus_2->Cortex_2
77	APOE	LRP1	Hypothalamus_2	Cortex_1	2.911299851158975		APOE|LRP1|Hypothalamus_2->Cortex_1
78	APOE	LRP1	Striatum	Pyramidal_layer	2.909898103702636		APOE|LRP1|Striatum->Pyramidal_layer
79	APOE	LRP1	Hypothalamus_1	Cortex_3	2.909534787423298		APOE|LRP1|Hypothalamus_1->Cortex_3
80	APOE	LRP1	Hypothalamus_2	Hypothalamus_1	2.9086726049964247		APOE|LRP1|Hypothalamus_2->Hypothalamus_1
81	APOE	LRP1	Thalamus_2	Cortex_3	2.9078384392329903		APOE|LRP1|Thalamus_2->Cortex_3
82	APOE	LRP1	Hypothalamus_2	Cortex_3	2.9030800812312814		APOE|LRP1|Hypothalamus_2->Cortex_3
83	APOE	LRP1	Cortex_5	Hippocampus	2.9006783697787704		APOE|LRP1|Cortex_5->Hippocampus
84	APOE	LRP1	Thalamus_1	Lateral_ventricle	2.8975748033750626		APOE|LRP1|Thalamus_1->Lateral_ventricle
85	APOE	LRP1	Hippocampus	Pyramidal_layer_dentate_gyrus	2.8890753454145264		APOE|LRP1|Hippocampus->Pyramidal_layer_dentate_gyrus
86	APOE	LRP1	Hypothalamus_1	Cortex_5	2.886963878491128		APOE|LRP1|Hypothalamus_1->Cortex_5
87	APOE	LRP1	Thalamus_2	Cortex_5	2.8852675303008204		APOE|LRP1|Thalamus_2->Cortex_5
88	APOE	LRP1	Hypothalamus_1	Hypothalamus_2	2.883670879485912		APOE|LRP1|Hypothalamus_1->Hypothalamus_2
89	APOE	LRP1	Thalamus_1	Cortex_4	2.8820452306692195		APOE|LRP1|Thalamus_1->Cortex_4
90	APOE	LRP1	Thalamus_2	Hypothalamus_2	2.8819745312956044		APOE|LRP1|Thalamus_2->Hypothalamus_2
91	APOE	LRP1	Hypothalamus_2	Cortex_5	2.8805091722991114		APOE|LRP1|Hypothalamus_2->Cortex_5
92	APOE	LRP1	Fiber_tract	Hippocampus	2.877603981274742		APOE|LRP1|Fiber_tract->Hippocampus
93	APOE	LRP1	Hypothalamus_2	Hypothalamus_2	2.8772161732938955		APOE|LRP1|Hypothalamus_2->Hypothalamus_2
94	APOE	LRP1	Hypothalamus_1	Thalamus_1	2.876383279018475		APOE|LRP1|Hypothalamus_1->Thalamus_1
95	APOE	LRP1	Thalamus_2	Thalamus_1	2.8746869308281675		APOE|LRP1|Thalamus_2->Thalamus_1
96	APOE	LRP1	Thalamus_1	Thalamus_2	2.8741779347571232		APOE|LRP1|Thalamus_1->Thalamus_2
97	APOE	LRP1	Striatum	Lateral_ventricle	2.873607775710878		APOE|LRP1|Striatum->Lateral_ventricle
98	APOE	LRP1	Hypothalamus_2	Thalamus_1	2.8699285728264585		APOE|LRP1|Hypothalamus_2->Thalamus_1
99	APOE	LRP1	Striatum	Cortex_4	2.858078203005035		APOE|LRP1|Striatum->Cortex_4
100	APOE	LRP1	Thalamus_1	Striatum	2.8580676243196126		APOE|LRP1|Thalamus_1->Striatum
101	APOE	LRP1	Thalamus_1	Cortex_2	2.852241694347404		APOE|LRP1|Thalamus_1->Cortex_2
102	APOE	LRP1	Thalamus_1	Cortex_1	2.8516110446251615		APOE|LRP1|Thalamus_1->Cortex_1
103	APOE	LRP1	Striatum	Thalamus_2	2.8502109070929387		APOE|LRP1|Striatum->Thalamus_2
104	APOE	LRP1	Thalamus_1	Hypothalamus_1	2.848983798462611		APOE|LRP1|Thalamus_1->Hypothalamus_1
105	APOE	LRP1	Hypothalamus_1	Pyramidal_layer_dentate_gyrus	2.8445382780011963		APOE|LRP1|Hypothalamus_1->Pyramidal_layer_dentate_gyrus
106	APOE	LRP1	Thalamus_1	Cortex_3	2.843391274697468		APOE|LRP1|Thalamus_1->Cortex_3
107	APOE	LRP1	Thalamus_2	Pyramidal_layer_dentate_gyrus	2.8428419298108887		APOE|LRP1|Thalamus_2->Pyramidal_layer_dentate_gyrus
108	APOE	LRP1	Cortex_2	Pyramidal_layer	2.8401979818230583		APOE|LRP1|Cortex_2->Pyramidal_layer
109	APOE	LRP1	Hippocampus	Hippocampus	2.8384773466769637		APOE|LRP1|Hippocampus->Hippocampus
110	APOE	LRP1	Hypothalamus_2	Pyramidal_layer_dentate_gyrus	2.8380835718091797		APOE|LRP1|Hypothalamus_2->Pyramidal_layer_dentate_gyrus
111	APOE	LRP1	Striatum	Striatum	2.834100596655428		APOE|LRP1|Striatum->Striatum
112	APOE	LRP1	Cortex_5	Fiber_tract	2.8328435877255633		APOE|LRP1|Cortex_5->Fiber_tract
113	APOE	LRP1	Striatum	Cortex_2	2.8282746666832193		APOE|LRP1|Striatum->Cortex_2
114	APOE	LRP1	Striatum	Cortex_1	2.827644016960977		APOE|LRP1|Striatum->Cortex_1
115	APOE	LRP1	Striatum	Hypothalamus_1	2.8250167707984266		APOE|LRP1|Striatum->Hypothalamus_1
116	APOE	LRP1	Thalamus_1	Cortex_5	2.820820365765298		APOE|LRP1|Thalamus_1->Cortex_5
117	APOE	LRP1	Striatum	Cortex_3	2.8194242470332833		APOE|LRP1|Striatum->Cortex_3
118	APOE	LRP1	Thalamus_1	Hypothalamus_2	2.817527366760082		APOE|LRP1|Thalamus_1->Hypothalamus_2
119	APOE	LRP1	Thalamus_1	Thalamus_1	2.810239766292645		APOE|LRP1|Thalamus_1->Thalamus_1
120	APOE	LRP1	Fiber_tract	Fiber_tract	2.809769199221535		APOE|LRP1|Fiber_tract->Fiber_tract
121	APOE	LRP1	Cortex_2	Lateral_ventricle	2.8039076538313004		APOE|LRP1|Cortex_2->Lateral_ventricle
122	APOE	LRP1	Striatum	Cortex_5	2.7968533381011134		APOE|LRP1|Striatum->Cortex_5
123	APOE	LRP1	Hypothalamus_1	Hippocampus	2.7939402792636336		APOE|LRP1|Hypothalamus_1->Hippocampus
124	APOE	LRP1	Striatum	Hypothalamus_2	2.7935603390958974		APOE|LRP1|Striatum->Hypothalamus_2
125	APOE	LRP1	Thalamus_2	Hippocampus	2.792243931073326		APOE|LRP1|Thalamus_2->Hippocampus
126	APOE	LRP1	Cortex_2	Cortex_4	2.7883780811254573		APOE|LRP1|Cortex_2->Cortex_4
127	APOE	LRP1	Hypothalamus_2	Hippocampus	2.787485573071617		APOE|LRP1|Hypothalamus_2->Hippocampus
128	APOE	LRP1	Striatum	Thalamus_1	2.7862727386284605		APOE|LRP1|Striatum->Thalamus_1
129	APOE	LRP1	Cortex_2	Thalamus_2	2.780510785213361		APOE|LRP1|Cortex_2->Thalamus_2
130	APOE	LRP1	Thalamus_1	Pyramidal_layer_dentate_gyrus	2.778394765275366		APOE|LRP1|Thalamus_1->Pyramidal_layer_dentate_gyrus
131	APOE	LRP1	Cortex_4	Pyramidal_layer	2.7725479020958854		APOE|LRP1|Cortex_4->Pyramidal_layer
132	APOE	LRP1	Hippocampus	Fiber_tract	2.7706425646237567		APOE|LRP1|Hippocampus->Fiber_tract
133	APOE	LRP1	Cortex_2	Striatum	2.7644004747758504		APOE|LRP1|Cortex_2->Striatum
134	APOE	LRP1	Cortex_2	Cortex_2	2.7585745448036416		APOE|LRP1|Cortex_2->Cortex_2
