rank	gene	moran_i	pval_norm	var_norm	pval_norm_fdr_bh
1	Nrgn	0.8747529676	0	0.0001307333572	0
2	Mbp	0.8687230513	0	0.0001307333572	0
3	Camk2n1	0.866541899	0	0.0001307333572	0
4	Slc17a7	0.8617611594	0	0.0001307333572	0
5	Ttr	0.8419864853	0	0.0001307333572	0
6	Prkcd	0.8235504334	0	0.0001307333572	0
7	Pmch	0.8181554543	0	0.0001307333572	0
8	Fth1	0.8112594961	0	0.0001307333572	0
9	Mobp	0.8109466932	0	0.0001307333572	0
10	Cck	0.810927216	0	0.0001307333572	0
11	Agrp	0.7985395124	0	0.0001307333572	0
12	Tcf7l2	0.7941815397	0	0.0001307333572	0
13	Ddn	0.7846767848	0	0.0001307333572	0
14	Olfm1	0.7632913155	0	0.0001307333572	0
15	Agt	0.7589971461	0	0.0001307333572	0
16	Tnnt1	0.753224808	0	0.0001307333572	0
17	Sparc	0.7528975608	0	0.0001307333572	0
18	Nptxr	0.752630374	0	0.0001307333572	0
19	Plp1	0.7476597898	0	0.0001307333572	0
20	Hcrt	0.7472004089	0	0.0001307333572	0
21	Baiap3	0.7436609413	0	0.0001307333572	0
22	Psd	0.7411152799	0	0.0001307333572	0
23	Gal	0.7365358405	0	0.0001307333572	0
24	Pcp4	0.7296646114	0	0.0001307333572	0
25	Itpka	0.7270762234	0	0.0001307333572	0
26	Mef2c	0.7242138985	0	0.0001307333572	0
27	Snap25	0.7209868009	0	0.0001307333572	0
28	Ctxn1	0.7156063483	0	0.0001307333572	0
29	Gpx3	0.7116002557	0	0.0001307333572	0
30	Gm5741	0.7096266294	0	0.0001307333572	0
31	Nnat	0.7086370713	0	0.0001307333572	0
32	Trf	0.705200325	0	0.0001307333572	0
33	Plekhb1	0.7042557633	0	0.0001307333572	0
34	Calm1	0.7013731568	0	0.0001307333572	0
35	Fezf1	0.6980242326	0	0.0001307333572	0
36	Cnp	0.6938608029	0	0.0001307333572	0
37	Ppp3ca	0.6933198889	0	0.0001307333572	0
38	Stx1a	0.688827278	0	0.0001307333572	0
39	Chn1	0.6849566855	0	0.0001307333572	0
40	Hpcal4	0.6811622041	0	0.0001307333572	0
41	Ctxn3	0.6802289461	0	0.0001307333572	0
