rank	cluster_1	cluster_2	pair_key	zscore	count
1	Hippocampus	Pyramidal_layer	Hippocampus|Pyramidal_layer	25.18711725	128
2	Cortex_4	Cortex_5	Cortex_4|Cortex_5	16.65425496	140
3	Hippocampus	Pyramidal_layer_dentate_gyrus	Hippocampus|Pyramidal_layer_dentate_gyrus	12.48359805	104
4	Lateral_ventricle	Striatum	Lateral_ventricle|Striatum	5.99445043	63
5	Fiber_tract	Lateral_ventricle	Fiber_tract|Lateral_ventricle	5.81219112	84
6	Fiber_tract	Hypothalamus_2	Fiber_tract|Hypothalamus_2	3.365860557	90
7	Cortex_1	Cortex_4	Cortex_1|Cortex_4	3.043786431	128
8	Cortex_2	Cortex_5	Cortex_2|Cortex_5	1.888323415	87
9	Cortex_1	Cortex_3	Cortex_1|Cortex_3	-0.3482557462	145
10	Hypothalamus_2	Thalamus_1	Hypothalamus_2|Thalamus_1	-1.140225247	64
11	Pyramidal_layer	Pyramidal_layer_dentate_gyrus	Pyramidal_layer|Pyramidal_layer_dentate_gyrus	-1.268399245	3
12	Fiber_tract	Hippocampus	Fiber_tract|Hippocampus	-1.691719607	92
13	Cortex_5	Lateral_ventricle	Cortex_5|Lateral_ventricle	-1.75607073	20
14	Hypothalamus_2	Thalamus_2	Hypothalamus_2|Thalamus_2	-2.106705935	39
15	Hippocampus	Lateral_ventricle	Hippocampus|Lateral_ventricle	-2.407195466	34
16	Hypothalamus_2	Pyramidal_layer_dentate_gyrus	Hypothalamus_2|Pyramidal_layer_dentate_gyrus	-2.585320806	10
17	Lateral_ventricle	Pyramidal_layer	Lateral_ventricle|Pyramidal_layer	-3.175965678	0
18	Cortex_3	Fiber_tract	Cortex_3|Fiber_tract	-3.220193652	83
19	Hypothalamus_2	Pyramidal_layer	Hypothalamus_2|Pyramidal_layer	-3.259356662	0
20	Cortex_2	Striatum	Cortex_2|Striatum	-3.541563784	55
21	Cortex_5	Pyramidal_layer	Cortex_5|Pyramidal_layer	-3.880840009	0
22	Fiber_tract	Striatum	Fiber_tract|Striatum	-3.93564653	43
23	Cortex_4	Pyramidal_layer	Cortex_4|Pyramidal_layer	-3.960182319	0
24	Thalamus_1	Thalamus_2	Thalamus_1|Thalamus_2	-4.179778684	72
25	Lateral_ventricle	Pyramidal_layer_dentate_gyrus	Lateral_ventricle|Pyramidal_layer_dentate_gyrus	-4.201876535	0
26	Pyramidal_layer	Striatum	Pyramidal_layer|Striatum	-4.253583444	0
27	Hypothalamus_1	Hypothalamus_2	Hypothalamus_1|Hypothalamus_2	-4.351844754	31
28	Pyramidal_layer	Thalamus_2	Pyramidal_layer|Thalamus_2	-4.361029618	0
29	Fiber_tract	Pyramidal_layer	Fiber_tract|Pyramidal_layer	-4.404075545	1
30	Hypothalamus_1	Lateral_ventricle	Hypothalamus_1|Lateral_ventricle	-4.434535384	19
31	Hypothalamus_2	Lateral_ventricle	Hypothalamus_2|Lateral_ventricle	-4.466431382	7
32	Hypothalamus_1	Pyramidal_layer	Hypothalamus_1|Pyramidal_layer	-4.644333219	0
33	Lateral_ventricle	Thalamus_2	Lateral_ventricle|Thalamus_2	-4.823922608	17
34	Cortex_3	Pyramidal_layer	Cortex_3|Pyramidal_layer	-4.83742073	0
35	Pyramidal_layer_dentate_gyrus	Striatum	Pyramidal_layer_dentate_gyrus|Striatum	-4.872153939	0
36	Cortex_1	Pyramidal_layer	Cortex_1|Pyramidal_layer	-4.959995419	0
37	Pyramidal_layer_dentate_gyrus	Thalamus_1	Pyramidal_layer_dentate_gyrus|Thalamus_1	-5.003206885	9
38	Cortex_5	Pyramidal_layer_dentate_gyrus	Cortex_5|Pyramidal_layer_dentate_gyrus	-5.014118711	0
39	Cortex_2	Pyramidal_layer	Cortex_2|Pyramidal_layer	-5.286043274	0
